timestamp,region,building_type,day_of_week,hour,month,temperature_c,humidity,wind_kph,square_feet,insulation_rating,occupancy,hvac_runtime_min,computer_hours,cooking_events,ev_charging,solar_kw,battery_soc,energy_kwh,high_peak,comfort_category
2025-02-05 20:00:00,West,Residential,Wednesday,20,2,16.93,63.03,10.6,1691,9.35,1,40.4,0.48,3,1,0.0,17.0,44.95,0,Good
2025-06-07 04:00:00,North,Residential,Saturday,4,6,29.12,,3.94,1072,6.09,2,18.1,4.29,2,1,0.0,39.3,24.4,0,Good
2025-05-09 20:00:00,North,Residential,Friday,20,5,8.48,64.28,1.44,2241,7.26,3,58.3,5.83,4,0,0.0,43.2,59.08,0,Poor
2025-01-20 10:00:00,South,SmallBusiness,Monday,10,1,17.08,61.3,12.17,6387,8.34,16,34.4,8.85,2,0,2.11,41.1,113.91,1,Good
2025-05-24 12:00:00,South,Residential,Saturday,12,5,24.87,48.23,4.04,824,5.93,6,1.2,4.05,1,0,0.55,69.1,15.86,0,Excellent
2025-05-13 03:00:00,West,SmallBusiness,Tuesday,3,5,26.43,34.71,19.29,7097,4.56,8,52.0,7.45,1,0,0.0,75.9,122.94,1,Good
2025-05-02 15:00:00,East,Residential,Friday,15,5,24.85,37.85,19.45,2744,7.81,2,45.1,2.14,2,1,2.21,37.6,55.52,0,Good
2025-01-06 10:00:00,South,SmallBusiness,Monday,10,1,5.66,66.19,8.5,4853,6.71,14,54.3,6.98,1,0,2.77,95.7,93.49,1,Poor
2025-03-12 05:00:00,South,Residential,Wednesday,5,3,27.05,,15.61,965,6.45,2,51.6,1.69,2,0,0.0,78.8,14.98,0,Fair
2025-02-02 01:00:00,North,Residential,Sunday,1,2,18.04,55.01,,2482,6.81,4,52.7,3.37,1,0,,55.2,48.61,0,Excellent
2025-04-10 15:00:00,North,Residential,Thursday,15,4,9.82,76.03,18.41,2530,4.37,2,46.6,3.59,1,0,1.41,91.8,50.45,0,Poor
2025-04-12 09:00:00,South,SmallBusiness,Saturday,9,4,18.31,54.21,9.25,4837,6.05,8,62.4,5.46,0,0,3.38,97.8,93.2,1,Excellent
2025-02-19 08:00:00,North,Residential,Wednesday,8,2,1.83,37.83,15.06,1246,7.79,5,67.1,1.54,0,0,2.1,75.1,41.37,0,Poor
2025-05-22 01:00:00,West,SmallBusiness,Thursday,1,5,23.63,51.86,13.87,5196,6.5,11,88.5,3.89,0,0,0.0,31.0,94.78,1,Excellent
2025-06-21 13:00:00,South,SmallBusiness,Saturday,13,6,18.48,77.38,,6234,5.57,14,78.8,5.13,1,1,1.95,87.1,115.87,1,Good
2025-05-02 00:00:00,North,SmallBusiness,Friday,0,5,8.84,45.95,8.3,4411,5.17,13,61.5,6.09,1,0,0.0,71.0,90.57,1,Fair
2025-01-20 18:00:00,West,Residential,Monday,18,1,14.68,52.96,19.11,1156,,3,62.5,4.57,5,1,0.0,75.9,43.76,0,Good
2025-02-15 02:00:00,North,SmallBusiness,Saturday,2,2,11.84,72.78,9.55,5124,8.01,14,60.5,7.09,1,0,0.0,80.2,94.6,1,Fair
2025-04-17 14:00:00,North,SmallBusiness,Thursday,14,4,13.35,71.75,,5925,8.35,15,53.2,5.23,2,0,0.69,73.7,116.51,1,Fair
2025-03-27 07:00:00,North,Residential,Thursday,7,3,-0.09,,,907,5.5,4,78.7,1.41,1,0,0.0,73.3,37.58,0,Poor
2025-04-25 11:00:00,South,Residential,Friday,11,4,5.12,63.02,8.04,2395,9.42,3,75.3,2.51,2,0,2.81,49.8,56.34,0,Poor
2025-02-10 15:00:00,East,Residential,Monday,15,2,15.66,70.94,10.56,1163,6.7,5,50.9,1.59,1,0,1.9,,25.02,0,Fair
2025-03-17 06:00:00,North,Residential,Monday,6,3,14.79,59.63,14.7,2584,3.55,3,40.4,0.0,1,1,0.0,35.8,53.57,0,Good
2025-01-08 21:00:00,West,Residential,Wednesday,21,1,24.79,74.21,16.7,1892,6.71,2,30.7,0.0,0,0,0.0,36.0,29.7,0,Good
2025-04-24 22:00:00,South,SmallBusiness,Thursday,22,4,13.45,65.08,12.77,4557,4.69,6,45.9,6.54,0,1,0.0,33.3,91.94,1,Fair
2025-05-06 05:00:00,South,Residential,Tuesday,5,5,14.78,52.78,20.5,2033,7.24,2,88.3,2.5,1,0,0.0,45.1,45.74,0,Good
2025-03-21 03:00:00,West,Residential,Friday,3,3,14.16,61.52,12.71,1720,7.0,4,82.0,3.33,1,0,0.0,90.3,48.4,0,Fair
2025-02-22 19:00:00,North,SmallBusiness,Saturday,19,2,15.92,49.22,1.23,5607,3.76,5,83.0,6.21,3,0,0.0,53.5,114.3,1,Good
2025-03-05 16:00:00,East,Residential,Wednesday,16,3,18.73,40.52,5.07,3073,9.09,6,36.7,8.57,2,0,4.02,79.5,52.96,0,Good
2025-05-14 10:00:00,North,SmallBusiness,Wednesday,10,5,15.75,37.88,16.2,3506,5.34,10,48.6,8.1,2,0,,42.4,63.89,1,Good
2025-05-29 04:00:00,West,Residential,Thursday,4,5,23.57,51.9,10.05,1693,3.23,2,32.2,4.09,1,0,0.0,11.4,36.84,0,Excellent
2025-06-12 02:00:00,South,Residential,Thursday,2,6,37.9,59.69,9.64,2762,8.81,3,41.9,5.94,1,0,0.0,79.8,59.48,0,Poor
2025-01-27 22:00:00,East,Residential,Monday,22,1,10.4,82.02,6.21,1677,,0,28.3,3.62,2,0,0.0,0.0,44.43,0,Poor
2025-05-01 08:00:00,South,Residential,Thursday,8,5,22.13,61.24,9.6,1484,6.04,1,14.1,6.71,2,1,1.18,62.7,33.23,0,Excellent
2025-04-12 11:00:00,West,Residential,Saturday,11,4,18.74,,9.69,2538,6.59,2,36.8,4.96,1,0,1.48,53.8,44.71,0,Excellent
2025-01-26 00:00:00,North,SmallBusiness,Sunday,0,1,25.38,53.51,14.94,3589,6.29,17,28.1,5.9,1,0,0.0,20.5,60.87,0,Excellent
2025-04-09 11:00:00,East,Residential,Wednesday,11,4,20.12,49.64,10.53,1492,3.64,4,64.8,6.99,1,0,2.72,100.0,33.34,0,Excellent
2025-03-27 21:00:00,South,SmallBusiness,Thursday,21,3,12.19,56.96,,6157,3.98,10,65.7,5.83,0,0,0.0,41.2,111.49,1,Fair
2025-01-11 01:00:00,South,Residential,Saturday,1,1,7.68,50.86,8.07,1594,8.21,5,85.2,0.0,2,0,0.0,78.2,45.83,0,Fair
2025-03-27 01:00:00,South,Residential,Thursday,1,3,22.88,50.13,13.23,2163,7.24,1,56.3,4.33,2,0,0.0,41.6,35.21,0,Excellent
2025-04-28 16:00:00,North,Residential,Monday,16,4,9.83,67.31,2.07,2103,8.15,3,84.1,1.98,1,0,,50.0,48.39,0,Poor
2025-04-19 20:00:00,East,Residential,Saturday,20,4,27.97,41.39,15.95,1033,8.67,7,59.6,1.0,1,0,0.0,66.6,30.41,0,Good
2025-02-26 19:00:00,North,SmallBusiness,Wednesday,19,2,21.93,51.25,,2972,1.0,16,51.6,7.51,3,0,,43.6,65.03,1,Excellent
2025-03-03 14:00:00,North,SmallBusiness,Monday,14,3,18.69,44.69,15.42,4605,5.77,5,29.7,10.07,3,0,2.11,94.9,82.67,1,Excellent
2025-04-17 12:00:00,North,SmallBusiness,Thursday,12,4,8.0,56.76,0.96,6800,4.42,11,77.1,5.79,2,0,1.47,,132.44,1,Poor
2025-02-02 07:00:00,West,Residential,Sunday,7,2,22.9,67.81,5.8,1504,6.27,2,71.3,3.75,1,0,0.0,49.1,34.99,0,Excellent
2025-06-17 06:00:00,West,Residential,Tuesday,6,6,32.43,60.25,17.03,1442,3.17,3,96.2,2.95,3,0,0.0,52.2,46.02,0,Fair
2025-01-02 10:00:00,West,Residential,Thursday,10,1,13.6,51.69,21.39,774,7.58,4,65.4,1.19,2,0,0.93,58.2,23.79,0,Good
2025-05-12 08:00:00,East,SmallBusiness,Monday,8,5,13.06,69.11,0.0,3852,7.69,7,61.4,5.58,1,0,,40.9,69.03,1,Fair
2025-03-23 11:00:00,North,Residential,Sunday,11,3,17.26,68.24,5.46,875,10.0,2,38.1,6.59,1,0,1.1,26.7,24.28,0,Good
2025-03-08 01:00:00,North,Residential,Saturday,1,3,21.74,55.59,22.98,1355,6.32,4,12.1,2.42,1,0,0.0,9.3,16.93,0,Excellent
2025-06-14 07:00:00,West,Residential,Saturday,7,6,15.25,78.89,12.85,2116,7.72,1,38.4,0.9,1,1,0.0,24.4,45.72,0,Fair
2025-05-09 01:00:00,North,Residential,Friday,1,5,26.19,,5.81,2686,8.25,2,79.9,5.83,1,0,0.0,100.0,57.68,0,Good
2025-02-12 13:00:00,North,Residential,Wednesday,13,2,32.79,60.89,20.86,2435,9.59,1,43.2,1.46,1,0,3.13,100.0,52.59,0,Fair
2025-05-25 05:00:00,South,Residential,Sunday,5,5,21.64,36.96,15.51,2060,4.46,4,15.6,0.56,0,0,0.0,57.0,41.97,0,Excellent
2025-04-19 21:00:00,North,SmallBusiness,Saturday,21,4,15.9,29.74,12.66,5170,8.11,13,9.7,6.55,0,0,0.0,40.5,101.97,1,Fair
2025-06-10 03:00:00,South,SmallBusiness,Tuesday,3,6,23.02,55.95,0.5,1083,7.22,10,18.4,6.84,1,0,0.0,,25.42,0,Excellent
2025-03-04 12:00:00,North,Residential,Tuesday,12,3,27.42,69.96,24.58,1740,3.59,3,79.0,3.16,0,0,1.75,23.3,44.77,0,Fair
2025-01-07 17:00:00,East,Residential,Tuesday,17,1,18.28,59.93,13.57,2631,7.34,4,57.2,1.69,3,0,1.87,47.8,42.7,0,Good
2025-06-29 01:00:00,West,Residential,Sunday,1,6,23.38,69.26,10.14,2171,7.83,2,59.7,4.73,1,1,0.0,49.9,50.5,0,Good
2025-03-24 13:00:00,South,SmallBusiness,Monday,13,3,23.64,48.8,20.77,6515,3.46,8,56.4,5.62,1,0,0.38,44.2,115.05,1,Excellent
2025-02-11 11:00:00,West,SmallBusiness,Tuesday,11,2,10.5,56.24,6.5,4132,6.36,9,94.4,5.01,2,0,3.87,72.3,81.37,1,Fair
2025-05-20 06:00:00,South,SmallBusiness,Tuesday,6,5,22.67,55.25,5.44,5052,6.64,12,42.2,4.04,4,0,0.0,60.3,92.14,1,Excellent
2025-06-08 06:00:00,South,SmallBusiness,Sunday,6,6,8.76,27.98,6.16,5797,6.59,8,53.3,5.9,3,0,0.0,67.7,109.65,1,Poor
2025-02-23 03:00:00,South,Residential,Sunday,3,2,12.23,81.83,9.72,1428,7.62,0,89.5,2.55,3,1,0.0,52.0,43.94,0,Poor
2025-02-12 08:00:00,East,SmallBusiness,Wednesday,8,2,26.67,72.96,12.16,4927,5.42,17,80.4,4.69,0,1,2.17,37.5,104.09,1,Good
2025-01-15 01:00:00,North,Residential,Wednesday,1,1,23.97,68.93,15.84,1720,4.53,2,38.1,2.65,0,0,0.0,10.4,30.9,0,Good
2025-02-06 14:00:00,South,Residential,Thursday,14,2,15.34,74.27,4.49,1477,7.38,3,52.3,5.98,1,0,2.09,85.7,27.33,0,Fair
2025-02-14 20:00:00,East,SmallBusiness,Friday,20,2,31.15,48.0,13.82,3671,9.33,13,37.7,7.1,1,0,0.0,53.8,71.09,1,Fair
2025-06-16 09:00:00,South,Residential,Monday,9,6,9.02,66.94,8.38,1151,9.2,1,64.4,7.39,0,0,1.17,85.1,38.61,0,Poor
2025-01-16 19:00:00,North,Residential,Thursday,19,1,15.36,47.96,11.35,3023,10.0,3,27.8,2.35,1,0,0.0,57.4,50.83,0,Good
2025-01-21 12:00:00,South,Residential,Tuesday,12,1,19.2,57.22,19.25,2119,5.83,0,42.9,6.02,1,1,2.62,36.2,41.27,0,Excellent
2025-03-27 22:00:00,East,Residential,Thursday,22,3,-4.47,28.87,14.96,1734,6.2,1,88.9,4.02,3,0,0.0,51.4,56.28,0,Poor
2025-06-11 20:00:00,North,SmallBusiness,Wednesday,20,6,18.24,52.77,15.46,3225,2.63,8,59.4,4.97,3,0,0.0,38.3,66.23,1,Excellent
2025-01-03 16:00:00,East,Residential,Friday,16,1,8.0,32.05,8.3,2270,5.39,0,49.6,7.38,2,0,3.03,79.0,48.27,0,Poor
2025-04-18 00:00:00,North,Residential,Friday,0,4,9.69,36.19,23.55,1353,3.66,0,58.8,7.49,1,0,0.0,47.1,45.75,0,Poor
2025-03-26 11:00:00,North,Residential,Wednesday,11,3,15.82,54.19,16.03,1497,5.88,1,40.0,4.27,0,0,1.83,51.3,32.64,0,Good
2025-04-23 07:00:00,West,Residential,Wednesday,7,4,3.89,44.38,9.45,600,8.95,3,27.6,2.73,2,0,0.0,100.0,25.11,0,Poor
2025-03-04 07:00:00,West,Residential,Tuesday,7,3,11.54,60.08,18.85,1157,8.42,3,45.9,4.31,1,0,0.0,44.1,24.52,0,Fair
2025-01-17 07:00:00,West,Residential,Friday,7,1,2.58,80.12,,2200,5.91,1,65.7,1.47,1,0,0.0,,49.32,0,Poor
2025-05-29 09:00:00,North,Residential,Thursday,9,5,19.99,45.67,4.42,1910,,4,9.2,5.95,1,0,2.77,100.0,31.88,0,Excellent
2025-04-05 22:00:00,South,SmallBusiness,Saturday,22,4,19.33,51.03,13.2,6775,5.04,14,55.6,9.4,3,0,0.0,48.6,120.09,1,Excellent
2025-05-10 03:00:00,East,SmallBusiness,Saturday,3,5,16.21,64.97,6.19,4151,8.05,11,0.0,7.43,1,0,0.0,50.0,79.77,1,Good
2025-01-09 08:00:00,East,Residential,Thursday,8,1,24.97,44.95,0.0,1481,5.94,3,0.0,1.95,1,0,4.09,33.3,35.99,0,Excellent
2025-05-10 08:00:00,East,Residential,Saturday,8,5,16.63,44.27,9.4,929,6.98,4,53.3,3.87,1,1,2.13,91.9,26.05,0,Good
2025-04-13 06:00:00,West,Residential,Sunday,6,4,18.32,48.33,18.8,1232,7.7,4,48.3,3.47,1,0,0.0,75.1,33.93,0,Excellent
2025-06-01 21:00:00,North,SmallBusiness,Sunday,21,6,12.25,68.21,20.85,5137,7.84,11,49.9,3.41,0,0,0.0,99.6,103.24,1,Fair
2025-02-03 12:00:00,West,Residential,Monday,12,2,-0.93,28.48,8.94,1709,1.49,5,102.8,6.17,1,0,0.95,64.2,50.04,0,Poor
2025-04-24 19:00:00,South,SmallBusiness,Thursday,19,4,17.34,42.29,10.29,5919,7.51,12,60.0,5.04,1,0,0.0,71.8,109.81,1,Good
2025-04-26 13:00:00,North,SmallBusiness,Saturday,13,4,16.29,77.96,20.38,3282,6.68,11,67.9,10.58,3,0,2.4,,76.36,1,Fair
2025-03-07 10:00:00,East,SmallBusiness,Friday,10,3,31.68,10.0,16.02,5048,3.25,9,32.6,10.28,0,0,2.42,73.9,97.43,1,Poor
2025-04-23 02:00:00,West,SmallBusiness,Wednesday,2,4,23.84,53.09,14.94,3126,8.99,8,39.4,8.84,2,0,0.0,68.6,55.9,0,Excellent
2025-06-10 00:00:00,West,Residential,Tuesday,0,6,16.2,77.95,12.84,2466,6.86,1,42.2,3.7,1,1,0.0,38.5,46.86,0,Fair
2025-02-12 20:00:00,South,Residential,Wednesday,20,2,18.63,83.65,16.35,1668,3.71,2,55.4,4.53,2,0,0.0,29.9,26.53,0,Fair
2025-01-21 22:00:00,South,SmallBusiness,Tuesday,22,1,24.26,66.99,11.82,4197,5.45,10,67.4,7.9,2,0,0.0,43.0,87.37,1,Good
2025-02-06 06:00:00,West,Residential,Thursday,6,2,21.63,72.58,21.18,1511,6.12,0,37.0,6.37,0,0,0.0,30.5,30.57,0,Excellent
2025-01-09 14:00:00,South,Residential,Thursday,14,1,30.35,40.77,11.28,2261,10.0,2,60.3,3.9,1,1,0.76,17.2,49.74,0,Fair
2025-03-03 20:00:00,East,Residential,Monday,20,3,11.68,42.0,11.19,971,4.93,6,65.7,1.8,3,0,0.0,70.8,28.1,0,Fair
2025-02-05 23:00:00,South,Residential,Wednesday,23,2,25.3,80.71,0.0,1937,5.26,1,20.5,0.0,2,0,0.0,0.0,39.67,0,Fair
2025-04-27 06:00:00,South,SmallBusiness,Sunday,6,4,15.12,51.04,18.35,3031,6.82,10,43.4,5.47,1,0,0.0,50.1,65.56,1,Good
2025-01-24 11:00:00,West,Residential,Friday,11,1,18.55,26.84,6.22,2415,10.0,3,48.6,4.59,2,0,1.61,66.0,41.17,0,Good
2025-06-24 15:00:00,West,Residential,Tuesday,15,6,15.04,61.28,0.0,2128,6.08,2,70.2,1.97,1,1,2.44,84.9,44.75,0,Good
2025-03-15 05:00:00,North,SmallBusiness,Saturday,5,3,16.86,52.14,10.93,3072,5.7,10,76.1,6.85,3,0,0.0,46.8,61.56,0,Good
2025-03-11 22:00:00,North,SmallBusiness,Tuesday,22,3,19.69,56.22,9.97,600,6.82,15,79.6,8.12,2,0,0.0,,31.55,0,Excellent
2025-05-16 02:00:00,West,Residential,Friday,2,5,23.75,19.28,14.7,2244,5.91,7,32.5,1.41,1,0,0.0,71.6,42.35,0,Good
2025-02-14 03:00:00,South,Residential,Friday,3,2,17.99,15.28,15.89,2189,5.88,3,45.9,3.86,1,0,0.0,61.6,44.39,0,Fair
2025-03-13 18:00:00,South,Residential,Thursday,18,3,-1.89,59.54,7.03,1656,8.23,3,83.8,2.54,1,0,0.0,59.9,44.82,0,Poor
2025-05-19 02:00:00,North,Residential,Monday,2,5,18.38,50.45,28.32,1708,5.61,2,46.6,3.35,1,0,0.0,26.3,34.43,0,Excellent
2025-05-12 13:00:00,North,Residential,Monday,13,5,30.76,48.15,10.79,2397,5.87,5,50.1,5.79,2,0,4.71,100.0,53.22,0,Good
2025-04-20 09:00:00,North,Residential,Sunday,9,4,17.82,60.86,1.87,1801,8.3,6,55.5,3.76,1,0,2.46,100.0,40.39,0,Good
2025-04-24 17:00:00,East,Residential,Thursday,17,4,30.49,43.32,21.5,1228,3.93,0,41.0,3.64,3,0,2.33,100.0,35.43,0,Fair
2025-03-08 13:00:00,East,Residential,Saturday,13,3,17.04,51.02,16.37,1554,5.88,2,0.0,2.44,2,0,4.38,83.1,27.54,0,Good
2025-05-08 12:00:00,North,Residential,Thursday,12,5,6.42,48.27,14.45,2695,3.5,1,39.0,3.01,1,0,1.98,69.2,48.91,0,Poor
2025-04-23 05:00:00,South,Residential,Wednesday,5,4,15.04,68.28,9.39,994,5.6,4,31.4,3.92,2,0,0.0,43.4,35.66,0,Fair
2025-06-01 03:00:00,North,Residential,Sunday,3,6,15.03,26.82,12.27,2580,5.87,2,84.1,3.31,1,1,0.0,54.4,57.55,0,Fair
2025-02-26 19:00:00,East,SmallBusiness,Wednesday,19,2,15.66,45.29,,3003,5.9,12,70.8,3.61,1,1,0.0,15.2,74.76,1,Good
2025-03-24 13:00:00,South,Residential,Monday,13,3,8.52,71.35,10.37,1005,5.8,1,69.9,2.89,0,0,2.57,92.2,30.69,0,Poor
2025-03-11 07:00:00,East,Residential,Tuesday,7,3,17.93,42.44,26.74,2275,7.01,5,46.8,3.35,0,0,0.0,31.0,45.96,0,Good
2025-03-05 17:00:00,South,Residential,Wednesday,17,3,15.37,56.8,6.27,1373,4.49,5,33.8,7.57,2,0,1.27,75.0,30.47,0,Good
2025-03-26 22:00:00,East,SmallBusiness,Wednesday,22,3,28.3,80.04,13.06,3721,7.2,7,35.0,4.74,0,0,0.0,100.0,67.74,1,Fair
2025-05-18 14:00:00,South,Residential,Sunday,14,5,9.32,57.38,1.89,698,5.59,0,62.8,2.08,0,0,2.43,93.7,20.38,0,Fair
2025-04-04 05:00:00,South,Residential,Friday,5,4,20.47,,8.88,2607,7.86,2,19.4,1.52,2,0,0.0,80.0,43.59,0,Good
2025-02-24 10:00:00,South,Residential,Monday,10,2,20.79,76.0,4.41,1624,6.39,1,81.1,4.32,3,0,1.1,73.2,42.14,0,Good
2025-06-17 21:00:00,South,SmallBusiness,Tuesday,21,6,25.7,45.23,14.56,3536,5.43,7,71.1,3.99,3,0,0.0,70.4,66.63,1,Excellent
2025-04-22 11:00:00,West,Residential,Tuesday,11,4,15.59,36.04,13.29,1915,4.14,4,85.6,4.81,0,0,3.05,24.4,45.07,0,Good
2025-02-23 10:00:00,East,Residential,Sunday,10,2,19.27,45.94,4.18,2331,7.03,5,26.3,5.69,1,0,1.9,68.6,48.9,0,Excellent
2025-01-30 13:00:00,East,Residential,Thursday,13,1,19.83,60.7,12.53,1687,6.15,3,43.1,4.33,1,1,3.6,75.9,35.17,0,Excellent
2025-06-06 04:00:00,West,Residential,Friday,4,6,6.31,60.19,12.74,2312,9.13,2,111.5,2.7,1,0,0.0,0.0,57.12,0,Poor
2025-01-28 15:00:00,South,SmallBusiness,Tuesday,15,1,14.38,64.97,13.05,5989,9.27,8,26.7,9.23,1,0,2.8,72.4,100.47,1,Fair
2025-03-25 06:00:00,South,SmallBusiness,Tuesday,6,3,17.74,41.12,17.12,4427,5.62,12,50.3,7.62,0,0,0.0,55.3,79.27,1,Good
2025-05-24 13:00:00,East,Residential,Saturday,13,5,19.68,43.33,21.39,1320,2.26,1,25.2,3.26,0,0,2.27,,23.29,0,Excellent
2025-06-05 23:00:00,West,Residential,Thursday,23,6,20.08,63.38,8.32,2434,8.1,2,41.8,2.64,1,0,0.0,42.4,47.43,0,Excellent
2025-03-04 07:00:00,South,Residential,Tuesday,7,3,21.5,84.86,10.16,2202,5.54,2,74.6,6.43,1,0,0.0,31.7,50.76,0,Good
2025-05-18 16:00:00,South,Residential,Sunday,16,5,34.5,38.55,10.96,2129,5.87,5,85.5,5.04,2,0,2.76,61.5,54.83,0,Fair
2025-06-06 19:00:00,South,Residential,Friday,19,6,14.74,53.91,4.19,2440,8.65,3,52.2,5.19,3,0,0.0,66.1,50.93,0,Good
2025-03-19 05:00:00,North,Residential,Wednesday,5,3,21.05,49.6,5.95,1170,7.13,1,43.6,1.72,1,0,0.0,79.2,24.71,0,Excellent
2025-02-23 19:00:00,West,Residential,Sunday,19,2,27.91,57.18,15.38,1843,8.03,3,0.0,1.07,2,0,0.0,50.4,29.29,0,Good
2025-05-30 05:00:00,South,Residential,Friday,5,5,4.61,37.04,23.55,2465,8.41,6,73.0,2.01,1,0,0.0,28.3,61.36,0,Poor
2025-05-25 01:00:00,North,SmallBusiness,Sunday,1,5,21.15,56.32,5.76,4645,6.2,6,28.8,5.27,3,0,0.0,72.3,79.97,1,Excellent
2025-03-10 04:00:00,West,SmallBusiness,Monday,4,3,4.56,73.31,25.76,4812,7.73,12,73.7,6.6,0,0,0.0,26.6,99.52,1,Poor
2025-06-04 00:00:00,South,SmallBusiness,Wednesday,0,6,36.98,30.64,8.6,4113,6.69,7,61.7,7.2,4,0,0.0,8.5,91.36,1,Poor
2025-05-05 23:00:00,East,Residential,Monday,23,5,23.18,69.94,19.27,2084,7.47,3,39.0,2.13,2,0,0.0,46.8,40.95,0,Good
2025-05-12 08:00:00,North,SmallBusiness,Monday,8,5,22.1,37.08,14.58,2091,6.78,14,30.6,3.58,1,0,1.85,86.4,49.02,0,Excellent
